CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
12060,,13151,"Henry County, GA",County or equivalent,203922,203777,205039,206911,208005,210012,212957,216414,220896,225182,229728,234561,,
12060,,13159,"Jasper County, GA",County or equivalent,13900,13894,13889,13832,13640,13597,13531,13683,13767,13882,14029,14219,,
12060,,13171,"Lamar County, GA",County or equivalent,18317,18311,18265,18160,18030,17929,18189,18236,18484,18600,18961,19077,,
12060,,13199,"Meriwether County, GA",County or equivalent,21992,21978,21818,21598,21335,21217,21208,21173,21074,21021,21094,21167,,
12060,,13211,"Morgan County, GA",County or equivalent,17868,17871,17901,17907,17809,17682,17896,17948,18107,18373,18831,19276,,
12060,,13217,"Newton County, GA",County or equivalent,99958,99967,100133,100444,100956,102040,103441,104884,106499,107846,109421,111744,,
12060,,13223,"Paulding County, GA",County or equivalent,142324,142397,142837,143606,144738,146753,148532,151649,155246,159509,164053,168667,,
12060,,13227,"Pickens County, GA",County or equivalent,29431,29404,29436,29390,29260,29387,29807,30136,30652,31541,32014,32591,,
12060,,13231,"Pike County, GA",County or equivalent,17869,17873,17922,17785,17770,17774,17765,17925,17897,18204,18647,18962,,
12060,,13247,"Rockdale County, GA",County or equivalent,85215,85169,85354,85409,85427,86480,87164,88354,88987,89843,90505,90896,,
12060,,13255,"Spalding County, GA",County or equivalent,64073,64109,64096,64044,63691,63508,63692,63818,64546,65358,66107,66703,,
12060,,13297,"Walton County, GA",County or equivalent,83768,83806,83992,84630,84975,86041,87526,88333,89786,91296,93202,94593,,
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549,274525,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,,
12100,,34001,"Atlantic County, NJ",County or equivalent,274549,274525,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,,
12220,,,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542,,
12220,,1081,"Lee County, AL",County or equivalent,140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542,,
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,564873,564893,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980,,
12260,,13033,"Burke County, GA",County or equivalent,23316,23326,23336,23506,23048,22824,22621,22632,22601,22545,22439,22383,,
12260,,13073,"Columbia County, GA",County or equivalent,124053,124016,124955,128804,132541,136141,139104,143837,147370,151529,154077,156714,,
12260,,13181,"Lincoln County, GA",County or equivalent,7996,7996,7970,7872,7764,7734,7644,7722,7855,7856,7925,7921,,
12260,,13189,"McDuffie County, GA",County or equivalent,21875,21867,21803,21614,21630,21499,21524,21462,21456,21511,21532,21312,,
12260,,13245,"Richmond County, GA",County or equivalent,200549,200594,201115,200568,201742,201335,201287,201451,201949,201673,201667,202518,,
12260,,45003,"Aiken County, SC",County or equivalent,160099,160129,160552,161594,162922,163702,164215,165688,167172,168325,169449,170872,,
12260,,45037,"Edgefield County, SC",County or equivalent,26985,26965,26963,26891,26559,26567,26651,26782,26626,26837,27132,27260,,
12420,,,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,1716289,1716323,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083,,
12420,,48021,"Bastrop County, TX",County or equivalent,74171,74217,74371,75055,74749,75814,77737,80115,82591,84585,86595,88723,,
