area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1728170,0.6,24.21,50350,2.1,9.81,13.08,19.42,30.57,44.67,20400,27210,40390,63590,92920,2008,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2031,Dancers,320,41.7,18.52,,17.9,8.21,11.27,13.06,28.22,30.89,,,,,,2008,dancer
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,,,22.88,47590,20.0,11.85,17.97,25.66,28.66,30.49,24650,37380,53360,59620,63420,2008,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,3780,18.0,18.63,38750,5.4,8.86,10.23,16.11,26.08,32.32,18440,21280,33510,54250,67220,2008,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,2950,10.2,13.14,27320,2.3,8.63,9.91,12.11,15.24,19.39,17950,20620,25180,31690,40330,2008,rec_worker
All,U.S. all,00-0000,All Occupations,130647610,0.1,         20.90,         43460,0.1,          8.24,         10.55,         15.95,         25.44,         39.02,         17140,         21940,         33190,         52920,         81160,2009,all_jobs
All,U.S. all,27-2031,Dancers,10700,6.1,         16.37,,3.1,          7.54,          8.67,         13.74,         20.82,         29.18,,,,,,2009,dancer
All,U.S. all,27-2032,Choreographers,14700,5.5,         20.25,         42130,2.0,          8.75,         12.05,         18.20,         26.83,         33.21,         18210,         25050,         37860,         55800,         69070,2009,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,228170,1.4,         16.99,         35340,0.9,          7.90,          9.55,         14.74,         21.98,         29.86,         16430,         19860,         30670,         45720,         62120,2009,fit_trainer
All,U.S. all,39-9032,Recreation workers,286230,1.0,         12.04,         25040,0.4,          7.73,          8.72,         10.71,         13.97,         18.35,         16070,         18130,         22280,         29060,         38170,2009,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5395280,0.6,23.55,48990,0.8,8.92,11.01,17.49,29.35,45.42,18550,22900,36370,61050,94470,2009,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,1340,28.5,13.58,,13.2,8.29,8.63,9.20,20.52,24.00,,,,,,2009,dancer
